Offset Time (ms),Bandwidth In (kbps),CPU Utilization (%),Memory Use (KB)
0,0,0.00,20496
0,0,100.00,21268
52,0,100.00,21624
153,0,100.00,21624
254,0,70.00,21624
354,0,60.00,22020
455,0,80.00,23040
