Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)	Real Start Time (ms)	Full Time to Load (ms)	Optimization Checked	CDN Provider
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/bullet.png	200	131	131	3601	344	3177	2825	0	0	Fri, 01 Jul 2022 13:32:20 GMT	max-age=315360000	image/png		3	3	1	3732	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	11	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	2825	0	315360000	3601	132	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/content_bg.png	200	103	102	3735	348	483	132	0	0	Fri, 01 Jul 2022 13:32:20 GMT	max-age=315360000	image/png		3	3	1	3838	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	12	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	132	0	315360000	3735	103	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/rss_16x16.png	200	100	99	3841	347	1081	730	0	0	Fri, 01 Jul 2022 13:32:20 GMT	max-age=315360000	image/png		3	3	1	3941	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	13	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	730	0	315360000	3841	101	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/twitter_16x16.png	200	108	108	3942	351	871	520	0	0	Fri, 01 Jul 2022 13:32:20 GMT	max-age=315360000	image/png		3	3	1	4050	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	14	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	520	0	315360000	3942	108	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/uploads/2012/04/g+_16x16.png	200	120	120	4055	326	1502	1150	0	0	Fri, 01 Jul 2022 13:32:20 GMT	max-age=315360000	image/png		3	3	1	4175	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	15	100	0	-1	100	100	-1	-1	-1	0	100	0	0				0	0	0	0	0	0	315360000	4055	121	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/facebook_16x16.png	200	110	110	4178	352	1074	723	0	0	Fri, 01 Jul 2022 13:32:21 GMT	max-age=315360000	image/png		3	3	1	4288	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	16	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	723	0	315360000	4178	110	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/delicious_16x16.png	200	128	127	4178	353	916	565	0	0	Fri, 01 Jul 2022 13:32:21 GMT	max-age=315360000	image/png		3	2	1	4306	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	17	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	565	0	315360000	4178	128	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/email_16x16.png	200	91	91	4289	349	890	539	0	0	Fri, 01 Jul 2022 13:32:21 GMT	max-age=315360000	image/png		3	3	1	4380	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	18	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	539	0	315360000	4289	92	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/uploads/2012/01/html5_intro_figure_02.png	200	176	134	4307	339	5215	4863	0	0	Fri, 01 Jul 2022 13:32:21 GMT	max-age=315360000	image/png		3	2	1	4483	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	19	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	4863	0	315360000	4307	176	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	173.194.34.6	GET	www.google-analytics.com	/__utm.gif?utmwv=5.3.3&utms=1&utmn=429121145&utmhn=braincracking.org&utmcs=utf-8&utmsr=1024x768&utmvp=995x614&utmsc=32-bit&utmul=en-us&utmje=1&utmfl=11.1%20r102&utmdt=BrainCracking%2C%20veille%20technologique%20sur%20les%20applications%20Web%20et%20la%20performance%20Web&utmhid=1979275394&utmr=-&utmp=%2F&utmac=UA-17969534-1&utmcc=__utma%3D45835639.1040382118.1341322341.1341322341.1341322341.1%3B%2B__utmz%3D45835639.1341322341.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&aip=1&utmu=qAQ~	200	82	82	4329	796	376	35	0	0	Wed, 19 Apr 2000 11:43:00 GMT	private, no-cache, no-cache=set-cookie, proxy-revalidate	image/gif		3	5	1	4411	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	20	-1	-1	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	35	0		4329	82	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	199.59.148.82	GET	twitter.com	/statuses/user_timeline/theystolemynick.json?callback=twitterCallback2&amp;count=9	200	380	376	4346	357	4061	2674	0	0	Tue, 31 Mar 1981 05:00:00 GMT	no-cache, no-store, must-revalidate, pre-check=0, post-check=0	application/javascript	gzip	3	6	1	4726	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	21	-1	-1	100	100	100	-1	100	-1	-1	0	0	0				4061	0	4061	0	0	0		4346	381	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/feed.png	200	98	97	4382	342	1039	688	0	0	Fri, 01 Jul 2022 13:32:21 GMT	max-age=315360000	image/png		3	3	1	4480	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	22	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	688	0	315360000	4382	99	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/uploads/2010/12/Untitled-1.jpg	200	370	118	4489	328	47912	47558	0	0	Fri, 01 Jul 2022 13:32:21 GMT	max-age=315360000	image/jpeg		3	3	1	4859	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	23	100	0	-1	100	100	-1	-1	-1	50	100	0	0				0	0	0	0	47558	8205	315360000	4489	370	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/widget_bg.png	200	102	102	4490	347	627	276	0	0	Fri, 01 Jul 2022 13:32:21 GMT	max-age=315360000	image/png		3	2	1	4592	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	24	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	276	0	315360000	4490	103	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/favicon.ico	200	164	100	4912	411	13322	12966	189	4	Fri, 01 Jul 2022 13:32:21 GMT	max-age=315360000	image/x-icon		3	2	0	5076	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0				0	0	0	0	0	0		4912	164	1	
